 VTW   BTW    VAW    BAW      V      VMG    PHI   REEF    FLAT      CL  IT SAIL                                                                                                                           
6.0  137.0   3.92   92.58  4.018  -2.939    .9  1.0000  1.0000  1.7916  2  Poled Asym
6.0  136.0   3.98   90.81  4.069  -2.927    .9  1.0000  1.0000  1.8197  2  Poled Asym
6.0  135.0   4.06   89.07  4.122  -2.914   1.0  1.0000  1.0000  1.8472  2  Poled Asym
6.0  134.0   4.13   87.34  4.176  -2.901   1.0  1.0000  1.0000  1.8748  2  Poled Asym
6.0  133.0   4.21   85.64  4.231  -2.886   1.1  1.0000  1.0000  1.9027  2  Poled Asym
6.0  132.0   4.29   83.96  4.289  -2.870   1.1  1.0000  1.0000  1.9309  2  Poled Asym
6.0  131.0   4.37   82.31  4.347  -2.852   1.2  1.0000  1.0000  1.9594  2  Poled Asym
6.0  130.0   4.45   80.70  4.406  -2.832   1.2  1.0000  1.0000  1.9881  2  Poled Asym
6.0  129.0   4.54   79.14  4.465  -2.810   1.3  1.0000  1.0000  2.0171  2  Poled Asym
6.0  128.0   4.63   77.62  4.523  -2.784   1.3  1.0000  1.0000  2.0462  2  Poled Asym
6.0  127.0   4.72   76.15  4.580  -2.756   1.4  1.0000  1.0000  2.0754  2  Poled Asym
6.0  126.0   4.81   74.75  4.636  -2.725   1.5  1.0000  1.0000  2.1045  2  Poled Asym
6.0  125.0   4.90   73.39  4.690  -2.690   1.5  1.0000  1.0000  2.1332  2  Poled Asym
6.0  124.0   5.00   72.09  4.743  -2.652   1.6  1.0000  1.0000  2.1612  2  Poled Asym
6.0  123.0   5.09   70.85  4.794  -2.611   1.7  1.0000  1.0000  2.1883  2  Poled Asym
6.0  122.0   5.19   69.64  4.843  -2.566   1.7  1.0000  1.0000  2.2142  2  Poled Asym
6.0  121.0   5.28   68.48  4.891  -2.519   1.8  1.0000  1.0000  2.2386  2  Poled Asym
6.0  120.0   5.38   67.36  4.938  -2.469   1.9  1.0000  1.0000  2.2611  2  Poled Asym
6.0  119.0   5.48   66.28  4.983  -2.416   2.0  1.0000  1.0000  2.2815  2  Poled Asym
6.0  118.0   5.58   65.24  5.026  -2.360   2.0  1.0000  1.0000  2.2994  2  Poled Asym
6.0  117.0   5.67   64.24  5.068  -2.301   2.1  1.0000  1.0000  2.3147  2  Poled Asym
6.0  116.0   5.77   63.28  5.107  -2.239   2.2  1.0000  1.0000  2.3272  2  Poled Asym
6.0  115.0   5.87   62.35  5.144  -2.174   2.2  1.0000  1.0000  2.3368  2  Poled Asym
6.0  114.0   5.96   61.47  5.178  -2.106   2.3  1.0000  1.0000  2.3435  2  Poled Asym
6.0  113.0   6.06   60.62  5.210  -2.036   2.4  1.0000  1.0000  2.3477  2  Poled Asym
6.0  112.0   6.15   59.80  5.240  -1.963   2.4  1.0000  1.0000  2.3509  2  Poled Asym
6.0  111.0   6.24   59.00  5.269  -1.888   2.5  1.0000  1.0000  2.3532  2  Poled Asym
6.0  110.0   6.34   58.23  5.296  -1.811   2.6  1.0000  1.0000  2.3548  2  Poled Asym
6.0  109.0   6.43   57.47  5.321  -1.732   2.6  1.0000  1.0000  2.3557  2  Poled Asym
6.0  108.0   6.52   56.74  5.345  -1.652   2.7  1.0000  1.0000  2.3559  2  Poled Asym
6.0  107.0   6.61   56.03  5.367  -1.569   2.8  1.0000  1.0000  2.3557  2  Poled Asym
6.0  106.0   6.70   55.34  5.387  -1.485   2.8  1.0000  1.0000  2.3552  2  Poled Asym
6.0  105.0   6.79   54.66  5.406  -1.399   2.9  1.0000  1.0000  2.3545  2  Poled Asym
6.0  104.0   6.87   54.00  5.424  -1.312   3.0  1.0000  1.0000  2.3537  2  Poled Asym
6.0  103.0   6.96   53.35  5.441  -1.224   3.0  1.0000  1.0000  2.3528  2  Poled Asym
6.0  102.0   7.05   52.72  5.456  -1.134   3.1  1.0000  1.0000  2.3520  2  Poled Asym
6.0  101.0   7.13   52.09  5.470  -1.044   3.2  1.0000  1.0000  2.3513  2  Poled Asym
6.0  100.0   7.21   51.48  5.483   -.952   3.2  1.0000  1.0000  2.3507  2  Poled Asym
6.0   99.0   7.29   50.88  5.495   -.859   3.3  1.0000  1.0000  2.3502  2  Poled Asym
6.0   98.0   7.38   50.29  5.505   -.766   3.4  1.0000  1.0000  2.3498  2  Poled Asym
6.0   97.0   7.45   49.71  5.514   -.672   3.4  1.0000  1.0000  2.3494  2  Poled Asym
6.0   96.0   7.53   49.15  5.522   -.577   3.5  1.0000  1.0000  2.3490  2  Poled Asym
6.0   95.0   7.61   48.59  5.528   -.482   3.5  1.0000  1.0000  2.3484  2  Poled Asym
6.0   94.0   7.69   48.00  5.540   -.386   3.6  1.0000  1.0000  2.3477  2  Poled Asym
6.0   93.0   7.76   47.47  5.542   -.290   3.7  1.0000  1.0000  2.3468  2  Poled Asym
